id,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage
473472,Female,57,1,41.0,0,1-2 Year,Yes,2630.0,156.0,194
438963,Male,52,1,14.0,1,1-2 Year,No,25567.0,124.0,92
386360,Male,21,1,8.0,1,< 1 Year,No,47740.0,160.0,12
413752,Female,21,1,11.0,1,< 1 Year,No,30210.0,152.0,60
429629,Male,51,1,8.0,1,1-2 Year,No,41734.0,26.0,22
398336,Male,59,1,18.0,0,1-2 Year,Yes,24644.0,131.0,105
464780,Male,74,1,28.0,0,1-2 Year,Yes,32317.0,124.0,40
395151,Female,34,1,29.0,0,1-2 Year,Yes,49960.0,154.0,202
474317,Female,27,1,28.0,0,< 1 Year,Yes,33044.0,124.0,201
504768,Male,48,1,3.0,0,1-2 Year,Yes,39420.0,26.0,240
457574,Male,36,1,36.0,0,1-2 Year,Yes,38192.0,26.0,177
410741,Female,25,1,36.0,1,< 1 Year,No,38999.0,152.0,217
499901,Male,54,1,46.0,0,1-2 Year,Yes,29682.0,26.0,115
431580,Female,40,1,29.0,0,1-2 Year,Yes,60629.0,26.0,57
479100,Male,22,1,33.0,1,< 1 Year,No,34879.0,152.0,61
504974,Male,60,1,29.0,1,1-2 Year,No,2630.0,61.0,127
490044,Female,24,1,47.0,0,< 1 Year,Yes,25788.0,152.0,257
467395,Male,27,1,11.0,1,< 1 Year,No,2630.0,152.0,120
505216,Male,24,1,36.0,1,< 1 Year,No,37350.0,152.0,165
502925,Male,42,1,28.0,0,1-2 Year,Yes,52521.0,124.0,266
499929,Female,71,1,24.0,1,1-2 Year,No,27211.0,145.0,173
418485,Male,35,1,0.0,0,1-2 Year,No,2630.0,152.0,132
496963,Male,46,1,28.0,0,1-2 Year,Yes,28169.0,26.0,275
410554,Male,60,1,1.0,0,1-2 Year,Yes,2630.0,156.0,39
382795,Female,58,1,28.0,0,1-2 Year,Yes,32386.0,26.0,14
460728,Female,24,1,11.0,1,< 1 Year,No,25822.0,152.0,31
389919,Female,24,1,3.0,0,< 1 Year,Yes,39370.0,122.0,265
419994,Female,35,1,19.0,1,1-2 Year,Yes,30367.0,124.0,31
390842,Male,64,1,45.0,0,1-2 Year,Yes,38183.0,124.0,36
442156,Female,24,1,11.0,1,< 1 Year,No,26675.0,152.0,137
418837,Female,69,1,29.0,1,1-2 Year,No,28430.0,26.0,184
477072,Female,31,1,33.0,1,< 1 Year,No,33480.0,152.0,167
485282,Male,41,1,15.0,0,1-2 Year,Yes,29078.0,124.0,67
478282,Female,39,1,47.0,0,1-2 Year,Yes,30267.0,26.0,109
505484,Male,21,1,10.0,1,< 1 Year,Yes,22482.0,152.0,198
482430,Male,38,1,28.0,0,1-2 Year,Yes,47493.0,122.0,68
503719,Male,38,1,28.0,0,1-2 Year,Yes,27372.0,122.0,63
489267,Male,71,1,50.0,1,1-2 Year,No,2630.0,18.0,203
462343,Female,24,1,21.0,1,< 1 Year,No,25676.0,152.0,271
474110,Male,22,1,33.0,1,< 1 Year,No,30632.0,152.0,46
443928,Female,54,1,28.0,1,1-2 Year,No,48734.0,124.0,97
392730,Female,47,1,41.0,1,1-2 Year,No,32091.0,26.0,297
491893,Male,41,1,41.0,1,1-2 Year,No,31425.0,26.0,288
393500,Male,57,1,28.0,0,1-2 Year,No,43058.0,54.0,235
431576,Male,21,1,28.0,1,< 1 Year,No,108208.0,152.0,261
390572,Female,48,1,28.0,1,1-2 Year,No,36918.0,124.0,225
435576,Male,40,1,30.0,0,1-2 Year,Yes,26564.0,26.0,60
395309,Female,22,1,32.0,1,< 1 Year,No,27757.0,152.0,221
456510,Male,41,1,28.0,0,1-2 Year,Yes,40851.0,26.0,74
454947,Male,46,1,35.0,1,1-2 Year,No,2630.0,26.0,116
453354,Female,55,1,28.0,0,1-2 Year,Yes,74810.0,26.0,259
499898,Male,46,1,28.0,0,1-2 Year,Yes,41543.0,26.0,182
